generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,490581,0,0.3223
2,1000,1000,10000,1000,2,490581,0,0.3311
2,1000,1000,10000,1000,2,490581,0,0.3156
2,1000,1000,10000,1000,2,490581,0,0.3077
2,1000,1000,10000,1000,2,490581,0,0.3186
2,1000,1000,10000,1000,2,490581,0,0.3216
2,1000,1000,10000,1000,2,490581,0,0.3364
2,1000,1000,10000,1000,2,490581,0,0.3115
2,1000,1000,10000,1000,2,490581,0,0.3152
2,1000,1000,10000,1000,2,490581,0,0.3157


