generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,132,221,0,1.8948
800,1000,1000,10000,1000,132,261,0,1.8719
800,1000,1000,10000,1000,132,224,0,1.8288
800,1000,1000,10000,1000,133,175,0,1.8177
800,1000,1000,10000,1000,133,229,0,1.8698
800,1000,1000,10000,1000,134,166,0,1.8947
800,1000,1000,10000,1000,135,179,0,1.8232
800,1000,1000,10000,1000,134,162,0,1.8653
800,1000,1000,10000,1000,132,234,0,1.8358
800,1000,1000,10000,1000,132,227,0,1.8254


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,240,164,0,3.5489
800,1000,1000,10000,1000,237,164,0,3.5531
800,1000,1000,10000,1000,241,166,0,3.5395
800,1000,1000,10000,1000,239,161,0,3.4730
800,1000,1000,10000,1000,237,118,0,3.5445
800,1000,1000,10000,1000,238,200,0,3.8221
800,1000,1000,10000,1000,238,145,0,3.7001
800,1000,1000,10000,1000,240,194,0,3.8032
800,1000,1000,10000,1000,240,144,0,3.7121
800,1000,1000,10000,1000,241,168,0,3.7917


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,344,86,0,5.9350
800,1000,1000,10000,1000,344,139,0,5.7199
800,1000,1000,10000,1000,340,134,0,5.7559
800,1000,1000,10000,1000,342,180,0,5.6948
800,1000,1000,10000,1000,343,73,0,5.7795
800,1000,1000,10000,1000,342,137,0,5.6083
800,1000,1000,10000,1000,341,82,0,5.7186
800,1000,1000,10000,1000,343,106,0,5.8390
800,1000,1000,10000,1000,341,138,0,5.8703
800,1000,1000,10000,1000,343,81,0,5.7926


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,444,31,0,7.7136
800,1000,1000,10000,1000,445,17,0,7.6964
800,1000,1000,10000,1000,444,75,0,7.4695
800,1000,1000,10000,1000,446,33,0,7.6354
800,1000,1000,10000,1000,445,6,0,7.6892
800,1000,1000,10000,1000,445,36,0,7.5412
800,1000,1000,10000,1000,444,48,0,7.7785
800,1000,1000,10000,1000,444,35,0,7.7968
800,1000,1000,10000,1000,441,68,0,7.5364
800,1000,1000,10000,1000,444,97,0,7.6397


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,546,53,0,8.9947
800,1000,1000,10000,1000,539,13,0,9.2557
800,1000,1000,10000,1000,547,46,0,9.0141
800,1000,1000,10000,1000,542,6,0,9.1801
800,1000,1000,10000,1000,544,40,0,8.9092
800,1000,1000,10000,1000,540,32,0,8.9894
800,1000,1000,10000,1000,542,45,0,9.0380
800,1000,1000,10000,1000,544,11,0,9.0673
800,1000,1000,10000,1000,543,47,0,9.0320
800,1000,1000,10000,1000,542,44,0,9.0122


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.600;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,638,29,0,11.7550
800,1000,1000,10000,1000,639,27,0,11.5742
800,1000,1000,10000,1000,640,46,0,11.8573
800,1000,1000,10000,1000,642,30,0,11.7026
800,1000,1000,10000,1000,634,29,0,11.7243
800,1000,1000,10000,1000,637,37,0,11.7864
800,1000,1000,10000,1000,640,22,0,11.5551
800,1000,1000,10000,1000,638,34,0,11.6479
800,1000,1000,10000,1000,638,7,0,11.7081
800,1000,1000,10000,1000,643,16,0,11.6414


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.700;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,725,11,0,13.1882
800,1000,1000,10000,1000,732,10,0,12.9996
800,1000,1000,10000,1000,732,32,0,12.8099
800,1000,1000,6642,1000,724,0,0,8.4295
800,1000,1000,9664,1000,727,0,0,12.4939
800,1000,1000,10000,1000,731,21,0,12.8336
800,1000,1000,10000,1000,726,20,0,13.0766
800,1000,1000,10000,1000,736,15,0,12.8208
800,1000,1000,10000,1000,727,14,0,13.0557
800,1000,1000,10000,1000,725,4,0,13.0615


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,800,64,0,16.1720
800,1000,1000,10000,1000,800,31,0,15.8003
800,1000,1000,10000,1000,800,16,0,15.8325
800,1000,1000,10000,1000,800,45,0,15.8120
800,1000,1000,10000,1000,800,12,0,15.9920
800,1000,1000,10000,1000,800,4,0,16.0047
800,1000,1000,10000,1000,800,26,0,15.7614
800,1000,1000,10000,1000,800,13,0,15.9696
800,1000,1000,10000,1000,800,37,0,15.8003
800,1000,1000,10000,1000,800,41,0,14.6722


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.900;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,800,5114,0,16.6124
800,1000,1000,10000,1000,800,4411,0,15.8450
800,1000,1000,10000,1000,800,4948,0,15.9174
800,1000,1000,10000,1000,800,8111,0,15.6359
800,1000,1000,10000,1000,800,5560,0,15.9079
800,1000,1000,10000,1000,800,6760,0,15.8930
800,1000,1000,10000,1000,800,6062,0,15.8415
800,1000,1000,10000,1000,800,5721,0,15.8993
800,1000,1000,10000,1000,800,8132,0,15.7382
800,1000,1000,10000,1000,800,4601,0,16.0617


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 1.000;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,800,20100,0,15.3121
800,1000,1000,10000,1000,800,20100,0,15.0306
800,1000,1000,10000,1000,800,20100,0,15.1629
800,1000,1000,10000,1000,800,20100,0,15.1749
800,1000,1000,10000,1000,800,20100,0,15.1400
800,1000,1000,10000,1000,800,20100,0,15.2437
800,1000,1000,10000,1000,800,20100,0,16.7058
800,1000,1000,10000,1000,800,20100,0,16.2874
800,1000,1000,10000,1000,800,20100,0,16.5589
800,1000,1000,10000,1000,800,20100,0,16.7178


