generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.100;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 1.000;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,800,223,0,17.6532
800,1000,1000,10000,1000,800,235,0,17.0144
800,1000,1000,10000,1000,800,228,0,16.9806
800,1000,1000,10000,1000,800,245,0,16.0297
800,1000,1000,10000,1000,800,226,0,15.9496
800,1000,1000,10000,1000,800,229,0,16.0876
800,1000,1000,10000,1000,800,227,0,16.0912
800,1000,1000,10000,1000,800,233,0,15.9114
800,1000,1000,10000,1000,800,227,0,15.9969
800,1000,1000,10000,1000,800,224,0,16.1051
,,,,,800,229.7,,
