generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,4286,1000,138,0,0,0.8715
800,1000,1000,3008,1000,136,0,0,0.5995
800,1000,1000,10000,1000,137,35,0,2.0424
800,1000,1000,4523,1000,138,0,0,0.9239
800,1000,1000,10000,1000,137,149,0,1.9786
800,1000,1000,7534,1000,138,0,0,1.5418
800,1000,1000,10000,1000,139,135,0,2.0568
800,1000,1000,9598,1000,137,0,0,1.9801
800,1000,1000,10000,1000,139,126,0,2.0315
800,1000,1000,9379,1000,139,0,0,1.9274


generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,8073,1000,244,0,0,3.0829
800,1000,1000,10000,1000,244,78,0,3.8486
800,1000,1000,10000,1000,245,26,0,3.9573
800,1000,1000,10000,1000,247,81,0,3.9669
800,1000,1000,10000,1000,242,16,0,3.9929
800,1000,1000,10000,1000,243,125,0,3.9691
800,1000,1000,10000,1000,247,57,0,4.1348
800,1000,1000,10000,1000,247,23,0,4.1540
800,1000,1000,10000,1000,246,36,0,4.1471
800,1000,1000,10000,1000,243,23,0,4.2218


generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,348,25,0,6.1672
800,1000,1000,10000,1000,345,8,0,5.8290
800,1000,1000,10000,1000,346,37,0,5.6702
800,1000,1000,10000,1000,346,32,0,5.6763
800,1000,1000,10000,1000,348,32,0,5.6148
800,1000,1000,10000,1000,343,20,0,5.7549
800,1000,1000,10000,1000,347,50,0,5.6579
800,1000,1000,10000,1000,348,1,0,5.7299
800,1000,1000,10000,1000,349,14,0,5.6600
800,1000,1000,10000,1000,346,75,0,5.5918


generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,449,27,0,7.6006
800,1000,1000,10000,1000,448,14,0,7.5152
800,1000,1000,10000,1000,448,7,0,7.5567
800,1000,1000,10000,1000,446,12,0,7.5419
800,1000,1000,10000,1000,449,41,0,7.5014
800,1000,1000,10000,1000,447,46,0,7.4503
800,1000,1000,10000,1000,451,11,0,7.7137
800,1000,1000,10000,1000,449,76,0,7.3429
800,1000,1000,10000,1000,448,33,0,7.4892
800,1000,1000,10000,1000,449,35,0,7.4031


generator: r; coloring kernel: d; dynamic kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
800,1000,1000,10000,1000,548,12,0,9.7709
800,1000,1000,10000,1000,547,41,0,9.4365
