generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.100;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
321,1000,1000,38,1000,925,0,0,0.0729
,,,29.8,,921.7,,,0.05858
,,,,,,,,
generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 1.000;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
1001,1000,1000,188,1000,1000,0,0,0.379
1001,1000,1000,259,1000,1000,0,0,0.5179
1001,1000,1000,753,1000,1000,0,0,1.4618
1001,1000,1000,409,1000,1000,0,0,0.7968
1001,1000,1000,383,1000,1000,0,0,0.8698
1001,1000,1000,190,1000,1000,0,0,0.38
1001,1000,1000,467,1000,1000,0,0,0.9152
1001,1000,1000,300,1000,1000,0,0,0.5825
1001,1000,1000,153,1000,1000,0,0,0.305
1001,1000,1000,413,1000,1000,0,0,0.8053
,,,351.5,,1000,,,0.70133
