generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,27200,0,0.3255
2,1000,1000,10000,1000,2,27031,0,0.3282
2,1000,1000,10000,1000,2,27224,0,0.3252
2,1000,1000,10000,1000,2,27252,0,0.3256
2,1000,1000,10000,1000,2,27210,0,0.3273
2,1000,1000,10000,1000,2,27371,0,0.3260
2,1000,1000,10000,1000,2,27537,0,0.3272
2,1000,1000,10000,1000,2,27224,0,0.3262
2,1000,1000,10000,1000,2,26892,0,0.3276
2,1000,1000,10000,1000,2,26995,0,0.3270


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,52026,0,0.3400
2,1000,1000,10000,1000,2,51903,0,0.3349
2,1000,1000,10000,1000,2,51868,0,0.3331
2,1000,1000,10000,1000,2,52129,0,0.3347
2,1000,1000,10000,1000,2,51896,0,0.3367
2,1000,1000,10000,1000,2,51843,0,0.3332
2,1000,1000,10000,1000,2,52063,0,0.3369
2,1000,1000,10000,1000,2,52112,0,0.3360
2,1000,1000,10000,1000,2,51865,0,0.3364
2,1000,1000,10000,1000,2,51678,0,0.3361


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,76556,0,0.3744
2,1000,1000,10000,1000,2,76724,0,0.3653
2,1000,1000,10000,1000,2,76665,0,0.3658
2,1000,1000,10000,1000,2,76586,0,0.3642
2,1000,1000,10000,1000,2,76514,0,0.3649
2,1000,1000,10000,1000,2,76653,0,0.3623
2,1000,1000,10000,1000,2,76558,0,0.3639
2,1000,1000,10000,1000,2,76708,0,0.3624
2,1000,1000,10000,1000,2,76512,0,0.3633
2,1000,1000,10000,1000,2,76565,0,0.3628


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,101440,0,0.3507
2,1000,1000,10000,1000,2,101000,0,0.3484
2,1000,1000,10000,1000,2,101677,0,0.3498
2,1000,1000,10000,1000,2,101508,0,0.3482
2,1000,1000,10000,1000,2,101163,0,0.3489
2,1000,1000,10000,1000,2,101281,0,0.3456
2,1000,1000,10000,1000,2,100834,0,0.3466
2,1000,1000,10000,1000,2,101591,0,0.3490
2,1000,1000,10000,1000,2,101464,0,0.3467
2,1000,1000,10000,1000,2,101087,0,0.3438


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.500;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,126452,0,0.3776
2,1000,1000,10000,1000,2,125927,0,0.3531
2,1000,1000,10000,1000,2,125823,0,0.3478
2,1000,1000,10000,1000,2,126289,0,0.3541
2,1000,1000,10000,1000,2,125953,0,0.3534
2,1000,1000,10000,1000,2,125976,0,0.3469
2,1000,1000,10000,1000,2,125490,0,0.3541
2,1000,1000,10000,1000,2,126690,0,0.3531
2,1000,1000,10000,1000,2,126176,0,0.3425
2,1000,1000,10000,1000,2,126127,0,0.3316


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.600;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,150817,0,0.3539
2,1000,1000,10000,1000,2,150931,0,0.3828
2,1000,1000,10000,1000,2,150834,0,0.3787
2,1000,1000,10000,1000,2,150492,0,0.3689
2,1000,1000,10000,1000,2,150762,0,0.3727
2,1000,1000,10000,1000,2,150803,0,0.3780
2,1000,1000,10000,1000,2,150806,0,0.3730
2,1000,1000,10000,1000,2,151343,0,0.3747
2,1000,1000,10000,1000,2,151227,0,0.3771
2,1000,1000,10000,1000,2,150847,0,0.3790


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.700;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,175434,0,0.3596
2,1000,1000,10000,1000,2,175750,0,0.3518
2,1000,1000,10000,1000,2,175378,0,0.3547
2,1000,1000,10000,1000,2,175258,0,0.3544
2,1000,1000,10000,1000,2,175472,0,0.3601
2,1000,1000,10000,1000,2,175404,0,0.3586
2,1000,1000,10000,1000,2,175415,0,0.3662
2,1000,1000,10000,1000,2,175323,0,0.3528
2,1000,1000,10000,1000,2,175498,0,0.3514
2,1000,1000,10000,1000,2,175080,0,0.3547


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.800;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,200394,0,0.3720
2,1000,1000,10000,1000,2,200877,0,0.3548
2,1000,1000,10000,1000,2,200442,0,0.3521
2,1000,1000,10000,1000,2,200097,0,0.3501
2,1000,1000,10000,1000,2,199939,0,0.3442
2,1000,1000,10000,1000,2,200117,0,0.3547
2,1000,1000,10000,1000,2,200248,0,0.3552
2,1000,1000,10000,1000,2,200911,0,0.3587
2,1000,1000,10000,1000,2,199884,0,0.3597
2,1000,1000,10000,1000,2,200502,0,0.3509


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 0.900;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,225381,0,0.3975
2,1000,1000,10000,1000,2,225191,0,0.3821
2,1000,1000,10000,1000,2,224998,0,0.3950
2,1000,1000,10000,1000,2,225037,0,0.3816
2,1000,1000,10000,1000,2,225105,0,0.3785
2,1000,1000,10000,1000,2,224953,0,0.3966
2,1000,1000,10000,1000,2,225315,0,0.3832
2,1000,1000,10000,1000,2,224900,0,0.3851
2,1000,1000,10000,1000,2,225128,0,0.3669
2,1000,1000,10000,1000,2,224561,0,0.3447


generator: r; coloring kernel: r; dynamic kernel: x; no. nodes: 1000; probability: 1.000;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
2,1000,1000,10000,1000,2,249824,0,0.3555
2,1000,1000,10000,1000,2,249696,0,0.3577
2,1000,1000,10000,1000,2,249525,0,0.3464
2,1000,1000,10000,1000,2,249789,0,0.3410
2,1000,1000,10000,1000,2,249941,0,0.3394
2,1000,1000,10000,1000,2,249644,0,0.3446
2,1000,1000,10000,1000,2,249644,0,0.3440
2,1000,1000,10000,1000,2,249861,0,0.3367
2,1000,1000,10000,1000,2,249564,0,0.3456
2,1000,1000,10000,1000,2,249549,0,0.3451


