generator: r; coloring kernel: m; dynamic kernel: x; no. nodes: 1000; probability: 0.100;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
generator: r; coloring kernel: m; dynamic kernel: x; no. nodes: 1000; probability: 1.000;,,,,,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
1001,1000,1000,3009,1000,1000,0,0,21.431
1001,1000,1000,3009,1000,1000,0,0,21.588
1001,1000,1000,3009,1000,1000,0,0,21.461
1001,1000,1000,3009,1000,1000,0,0,21.271
1001,1000,1000,3009,1000,1000,0,0,21.268
1001,1000,1000,3009,1000,1000,0,0,21.316
1001,1000,1000,3009,1000,1000,0,0,21.702
1001,1000,1000,3009,1000,1000,0,0,21.442
1001,1000,1000,3009,1000,1000,0,0,21.678
1001,1000,1000,3009,1000,1000,0,0,21.365
,,,3009,,1000,,,21.4522
