generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.100;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,134,191,0,2.0041
500,1000,1000,10000,1000,131,154,0,2.0097
500,1000,1000,10000,1000,135,158,0,1.9612
500,1000,1000,10000,1000,133,172,0,1.9916
500,1000,1000,10000,1000,133,153,0,2.0260
500,1000,1000,10000,1000,131,316,0,1.9900
500,1000,1000,10000,1000,134,236,0,1.9824
500,1000,1000,10000,1000,134,245,0,1.9983
500,1000,1000,10000,1000,132,278,0,1.9783
500,1000,1000,10000,1000,131,115,0,1.9653


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.200;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,243,121,0,3.5774
500,1000,1000,10000,1000,238,159,0,3.4828
500,1000,1000,10000,1000,239,172,0,3.5207
500,1000,1000,10000,1000,241,122,0,3.5161
500,1000,1000,10000,1000,242,137,0,3.5582
500,1000,1000,10000,1000,238,125,0,3.5188
500,1000,1000,10000,1000,240,194,0,3.5609
500,1000,1000,10000,1000,237,103,0,3.4352
500,1000,1000,10000,1000,239,137,0,3.5808
500,1000,1000,10000,1000,239,216,0,3.4895


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.300;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,339,150,0,5.6916
500,1000,1000,10000,1000,344,154,0,5.6589
500,1000,1000,10000,1000,344,140,0,5.6508
500,1000,1000,10000,1000,344,72,0,5.5692
500,1000,1000,8548,1000,342,0,0,4.9056
500,1000,1000,10000,1000,342,61,0,5.8610
500,1000,1000,10000,1000,345,102,0,5.7253
500,1000,1000,10000,1000,343,139,0,5.6013
500,1000,1000,10000,1000,341,83,0,5.5829
500,1000,1000,10000,1000,342,81,0,5.6441


generator: r; coloring kernel: i; dynamic kernel: x; no. nodes: 1000; probability: 0.400;
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
500,1000,1000,10000,1000,441,89,0,7.7098
