generator: r, coloring kernel: i, dynamic kernel: x, no. nodes: 1000, probability: 0.100,,,,
benchmark, starting nodes, final nodes, iterations, agents, colours, conflicts, missed nodes, time (s)
1001,1000,1000,50000,1000,999,1,0,103.0159
1001,1000,1000,50000,1000,999,1,0,103.5556
1001,1000,1000,50000,1000,999,1,0,96.5625
1001,1000,1000,50000,1000,999,1,0,103.1252
1001,1000,1000,50000,1000,999,1,0,103.3579
1001,1000,1000,50000,1000,999,1,0,103.2912
1001,1000,1000,50000,1000,999,1,0,102.3561
1001,1000,1000,50000,1000,999,1,0,103.4139


